GENUS_SPECIES,taxonomic_class
Diurnea fagella,Insecta
Eupithecia abbreviata,Insecta
Eupithecia satyrata,Insecta
Eupithecia tantillaria,Insecta
Eupithecia virgaureata,Insecta
Hypena rostralis,Insecta
Mompha epilobiellla,Insecta
Mompha sturnipennella,Insecta
Phyllonorycter emberizaepennella,Insecta
Phyllonorycter oxyacanthae,Insecta
Pterostoma palpina,Insecta
Swammerdamia pyrella,Insecta
Xanthorhoe fluctuata,Insecta
Ypsolopha ustella,Insecta
Depressaria emeritella,Insecta
Aethalura punctulata,Insecta
Amphimallon solstitiale,Insecta
Anthrenus verbasci,Insecta
Aphomia sociella,Insecta
Badister collaris,Insecta
Badister peltatus,Insecta
Bledius gallicus,Insecta
Bledius opacus,Insecta
Borkhausenia minutella,Insecta
Bucculatrix ulmella,Insecta
Caloptilia populetorum,Insecta
Caloptilia robustella,Insecta
Caloptilia stigmatella,Insecta
Calvia quatuordecimguttata,Insecta
Cameraria ohridella,Insecta
Cantharis livida,Insecta
Cantharis rufa,Insecta
Caradrina morpheus,Insecta
Carpelimus rivularis,Insecta
Cercyon marinus,Insecta
Cydia strobilella,Insecta
Discestra trifolii,Insecta
Ectoedemia argyropeza,Insecta
Endrosis sarcitrella,Insecta
Furcula furcula,Insecta
Gnypeta carbonaria,Insecta
Gravitarmata margarotana,Insecta
Halyzia sedecimpunctata,Insecta
Hydroglyphus geminus,Insecta
Lobophora halterata,Insecta
Necrodes littoralis,Insecta
Oxytelus sculptus,Insecta
Pammene obscurana,Insecta
Phyllonorycter platani,Insecta
Phyllonorycter rajella,Insecta
Phyllonorycter ulmifoliella,Insecta
Pityophthorus pubescens,Insecta
Plodia interpunctella,Insecta
Rhantus suturalis,Insecta
Selenia dentaria,Insecta
Stigmella roborella,Insecta
Stigmella tityrella,Insecta
Tineola bisselliella,Insecta
Xanthorhoe spadicearia,Insecta
Xyleborinus saxesenii,Insecta
Acronicta aceris,Insecta
Acronicta alni,Insecta
Agrotis clavis,Insecta
Anaspis regimbarti,Insecta
Apamea sordens,Insecta
Argyresthia retinella,Insecta
Bupalus piniaria,Insecta
Carpelimus bilineatus,Insecta
Celypha striana,Insecta
Charanycha trigrammica,Insecta
Chrysoteuchia culmella,Insecta
Coleophora laricella,Insecta
Cucullia umbratica,Insecta
Cydia tenebrosana,Insecta
Cyphon variabilis,Insecta
Dasytes plumbeus,Insecta
Deilephila elpenor,Insecta
Dioryctria abietella,Insecta
Earias clorana,Insecta
Elachista argentella,Insecta
Electrophaes corylata,Insecta
Epinotia tedella,Insecta
Eudonia mercurella,Insecta
Eupithecia vulgata,Insecta
Furcula bifida,Insecta
Hedya nubiferana,Insecta
Heliophobus reticulata,Dicotyledonae
Heterocerus fenestratus,Insecta
Lacanobia suasa,Insecta
Lacanobia w-latinum,Insecta
Lathronympha strigana,Insecta
Macaria notata,Insecta
Melanchra pisi,Insecta
Mompha raschkiella,Insecta
Monopis laevigella,Insecta
Notocelia cynosbatella,Insecta
Ochthebius marinus,Insecta
Oligia latruncula,Insecta
Pandemis cerasana,Insecta
Parascotia fuliginaria,Insecta
Phyllonorycter harrisella,Insecta
Phyllonorycter leucographella,Insecta
Prionocyphon serricornis,Insecta
Pseudargyrotoza conwagana,Insecta
Pseudoips fagana,Insecta
Ptycholoma lecheana,Insecta
Rhinophora rectangulata,Insecta
Stigmella obliquella,Insecta
Tethea or,Insecta
Thera variata,Insecta
Tinea columbariella,Insecta
Acronicta psi,Insecta
Aplocera efformata,Insecta
Argyresthia trifasciata,Insecta
Bryotropha affinis,Insecta
Crambus lathoniellus,Insecta
Cydia pomonella,Insecta
Diarsia rubi,Insecta
Eilema sororcula,Insecta
Hepialus lupulina,Insecta
Ilybius ater,Insecta
Lacanobia oleracea,Insecta
Lampronia morosa,Insecta
Pyrrhia umbra,Insecta
Thera britannica,Insecta
Watsonalla binaria,Insecta
Ectoedemia albifasciella,Insecta
Acleris bergmanniana,Insecta
Aethes margaritana,Insecta
Aleimma loeflingiana,Insecta
Apamea lithoxylaea,Insecta
Apamea monoglypha,Insecta
Archips podana,Insecta
Archips rosana,Insecta
Archips xylosteana,Insecta
Argyresthia bonnetella,Insecta
Argyresthia brockeella,Insecta
Argyresthia curvella,Insecta
Aroga velocella,Insecta
Blastodacna hellerella,Insecta
Carcina quercana,Insecta
Chortodes fluxa,Insecta
Cnephasia incertana,Insecta
Coleophora lutipennella,Insecta
Cydia fagiglandana,Insecta
Dichomeris marginella,Insecta
Dioryctria schuetzeella,Insecta
Eana incanana,Insecta
Epinotia abbreviana,Insecta
Euxoa nigricans,Insecta
Exoteleia dodecella,Insecta
Gypsonoma aceriana,Insecta
Hoplodrina octogenaria,Insecta
Idaea aversata,Insecta
Lagria hirta,Insecta
Laothoe populi,Insecta
Lyonetia clerkella,Insecta
Mamestra brassicae,Insecta
Melanchra persicariae,Insecta
Myrrha octodecimguttata,Insecta
Mythimna pallens,Insecta
Noctua fimbriata,Insecta
Noctua orbona,Insecta
Notocelia roborana,Insecta
Ocnerostoma piniariella,Insecta
Parachronistis albiceps,Insecta
Parastichtis ypsillon,Insecta
Paraswammerdamia nebulella,Insecta
Phlyctaenia coronata,Insecta
Phycita roborella,Insecta
Piniphila bifasciana,Insecta
Rhyacionia pinicolana,Insecta
Scoparia basistrigalis,Insecta
Scoparia pyralella,Insecta
Scrobipalpa stangei,Insecta
Synaphe punctalis,Insecta
Teleiodes fugitivella,Insecta
Tortrix viridana,Insecta
Trachycera advenella,Betaproteobacteria
Vitula biviella,Insecta
Xestia triangulum,Insecta
Yponomeuta malinellus,Insecta
Zeiraphera isertana,Insecta
Acentria ephemerella,Insecta
Agriphila straminella,Insecta
Amara apricaria,Insecta
Ancylis achatana,Insecta
Anobium nitidum,Insecta
Anotylus rugosus,Insecta
Argyresthia conjugella,Insecta
Argyresthia dilectella,Insecta
Attagenus smirnovi,Insecta
Autographa jota,Insecta
Axylia putris,Insecta
Batrachedra pinicolella,Insecta
Bembidion fumigatum,Insecta
Bisigna procerella,Insecta
Blastodacna atra,Insecta
Borkhausenia fuscescens,Insecta
Borkhausenia luridicomella,Insecta
Bradycellus verbasci,Insecta
Bryotropha similis,Insecta
Cabera pusaria,Insecta
Campaea margaritata,Insecta
Caryocolum proxima,Insecta
Catoptria falsella,Insecta
Catoptria pinella,Insecta
Cercyon unipunctatus,Insecta
Chionodes electella,Insecta
Cidaria fulvata,Insecta
Clepsis consimilana,Insecta
Cnephasia asseclana,Insecta
Coleophora ibipennella,Insecta
Coleophora saxicolella,Insecta
Cosmia trapezina,Insecta
Crambus perlella,Insecta
Crassa unitella,Insecta
Cucullia absinthii,Insecta
Cydia funebrana,Insecta
Cyphon coarctatus,Insecta
Depressaria depressana,Insecta
Diachrysia chrysitis,Insecta
Diarsia florida,Insecta
Dichrorampha alpinana,Insecta
Dipleurina lacustrata,Insecta
Ditula angustiorana,Insecta
Dryocoetes autographus,Insecta
Ennomos quercinaria,Insecta
Epinotia nanana,Insecta
Ernobius mollis,Insecta
Eucosma cana,Insecta
Evergestis limbata,Insecta
Gypsonoma dealbana,Insecta
Gypsonoma minutana,Insecta
Habrosyne pyritoides,Insecta
Hecatera bicolorata,Insecta
Hedya ochroleucana,Insecta
Hemithea aestivaria,Insecta
Hoplodrina blanda,Insecta
Hylaea fasciaria,Insecta
Lobesia abscisana,Insecta
Macaria liturata,Insecta
Mesapamea didyma,Insecta
Mythimna ferrago,Insecta
Mythimna impura,Insecta
Oligia strigilis,Insecta
Ophonus rufibarbis,Insecta
Ourapteryx sambucaria,Insecta
Pandemis heparana,Insecta
Perizoma alchemilliata,Insecta
Pexicopia malvella,Insecta
Phalera bucephala,Insecta
Phyllocnistis unipunctella,Insecta
Phyllonorycter blancardella,Insecta
Polia bombycina,Insecta
Ptycholomoides aeriferana,Insecta
Recurvaria leucatella,Insecta
Serica brunnea,Insecta
Serropalpus barbatus,Insecta
Sitochroa verticalis,Insecta
