Unnamed: 0,GENUS_SPECIES,taxonomic_class
10001,Crossaster campbellicus,Asteroidea
10002,Astropecten tasmanicus,Asteroidea
10003,Astropatricia marita,Asteroidea
10004,Zoroaster ,Asteroidea
10005,Pteraster obesus,Asteroidea
10006,Luidia neozelanica,Asteroidea
10007,Hymenaster sp1,Asteroidea
10008,Zoroaster variacanthus,Asteroidea
10009,Anseropoda aotearoa,Asteroidea
10010,Ceramaster sp2,Asteroidea
10011,Freyella echinata,Asteroidea
10012,Marginaster patriceae,Asteroidea
10013,Tremaster mirabilis,Asteroidea
10014,Anthenoides granulosus,Asteroidea
10015,Henricia sufflata,Asteroidea
10016,Ophidiaster confertus,Asteroidea
10017,Hymenaster carnosus,Asteroidea
10018,Hymenodiscus sp2,Asteroidea
10019,Taranuiaster novaezealandiae,Asteroidea
10020,Porcellanaster ceruleus,Asteroidea
10021,Coronaster halicepus,Asteroidea
10022,Odontaster benhami,Asteroidea
10023,Astropecten monacanthus,Asteroidea
10024,Hyalinothrix millespina,Asteroidea
10025,Cheiraster otagoensis,Asteroidea
10026,Allostichaster polyplax,Insecta
10027,Zoroaster singletoni,Asteroidea
10028,Odontaster aucklandensis,Asteroidea
10029,Coronaster reticulatus,Asteroidea
10030,Rumbleaster eructans,Asteroidea
10031,Odontohenricia endeavouri,Asteroidea
10032,Diplopteraster hurleyi,Asteroidea
10033,Hydrasterias sacculata,Asteroidea
10034,Podosphaeraster somnambulator,Asteroidea
10035,Plutonaster fragilis,Asteroidea
10036,Dytaster pedicellaris,Asteroidea
10037,Psalidaster nsp,Asteroidea
10038,Patiriella oliveri,Asteroidea
10039,Anasterias mawsoni,Asteroidea
10040,Linckia guildingi,Asteroidea
10041,Echinaster colemani,Asteroidea
10042,Lophaster suluensis,Asteroidea
10043,Pseudarchaster jordani,Asteroidea
10044,Anasterias directa,Asteroidea
10045,Hydrasterias tasmanica,Asteroidea
10046,Dytaster felli,Asteroidea
10047,Sphaeriodiscus maui,Asteroidea
10048,Freyastera digitata,Asteroidea
10049,Styracaster armatus,Asteroidea
10050,Cheiraster triplacanthus,Asteroidea
10051,Ceramaster sp1,Asteroidea
10052,Leilaster spinulosus,Asteroidea
10053,Brisingaster robillardi,Asteroidea
10054,Henricia studeri,Asteroidea
10055,Pteraster stellifer,Asteroidea
10056,Porania antarctica,Asteroidea
10057,Henricia tahia,Asteroidea
10058,Nepanthia reinga,Asteroidea
10059,Freyella felleyra,Asteroidea
10060,Hymenaster sp2,Asteroidea
10061,Hymenodiscus sp3,Asteroidea
10062,Damnaster tasmani,Asteroidea
10063,Tethyaster tangaroae,Asteroidea
10064,Patiriella exigua,Asteroidea
10065,Astropecten celebensis,Asteroidea
10066,Mithrodia clavigera,Asteroidea
10067,Henricia kapalae,Asteroidea
10068,Radiaster gracilis,Dicotyledonae
10069,Caymanostella phorcynis,Asteroidea
10070,Pseudoceramaster hunti,Sordariomycetes
10071,Rosaster endilius,Asteroidea
10072,Nepanthia belcheri,Asteroidea
10073,Ceramaster glasbyi,Asteroidea
10074,Dissogenes petersi,Asteroidea
10075,Nepanthia grangei,Asteroidea
10076,Anarhichas denticulatus,Actinopteri
10077,Leucoraja ocellata,Chondrichthyes
10078,Myoxocephalus octodecemspinosus,Actinopteri
10079,Lycodes vahlii,Actinopteri
10080,Sebastes ,Actinopteri
10081,Nezumia bairdii,Actinopteri
10082,Phycis chesteri,Actinopteri
10083,Urophycis tenuis,Actinopteri
10084,Malacoraja senta,Chondrichthyes
10085,Hemitripterus americanus,Actinopteri
10086,Limanda ferruginea,Actinopteri
10087,Pseudopleuronectes americanus,Actinopteri
10088,Illex illecebrosus,Cephalopoda
10089,Zoarces americanus,Actinopteri
10090,Hippoglossus hippoglossus,Actinopteri
10091,Leucoraja erinacea,Chondrichthyes
10092,Alosa pseudoharengus,Actinopteri
10093,Brosme brosme,Actinopteri
10094,Dipturus laevis,Chondrichthyes
10095,Tautogolabrus adspersus,Actinopteri
10096,Reinhardtius hippoglossoides,Actinopteri
10097,Alosa sapidissima,Actinopteri
10098,Mallotus villosus,Actinopteri
10099,Leptagonus decagonus,Actinopteri
10100,Aspidophoroides monopterygius,Actinopteri
10101,Artediellus uncinatus,Actinopteri
10102,Triglops murrayi,Actinopteri
10103,Ammodytes dubius,Actinopteri
10104,Eumicrotremus spinosus,Actinopteri
10105,Arctozenus risso,Actinopteri
10106,Rajella fyllae,Chondrichthyes
10107,Synaphobranchus kaupii,Actinopteri
10108,Liparis atlanticus,Actinopteri
10109,Lycodes esmarkii,Actinopteri
10110,Artediellus ,Actinopteri
10111,Lumpenus lampretaeformis,Actinopteri
10112,Liparis fabricii,Actinopteri
10113,Lycodes pallidus,Actinopteri
10114,Liparis gibbus,Actinopteri
10115,Anarhichas minor,Actinopteri
10116,Artediellus atlanticus,Actinopteri
10117,Boltenia ,Ascidiacea
10118,Lycodes lavalaei,Actinopteri
10119,Lycodes ,Actinopteri
10120,Ulvaria subbifurcata,Actinopteri
10121,Icelus spatula,Actinopteri
10122,Petromyzon marinus,Hyperoartia
10123,Gymnelus viridis,Actinopteri
10124,Parasudis truculenta,Actinopteri
10125,Chlorophthalmidae ,Actinopteri
10126,Alosa aestivalis,Actinopteri
10127,Cryptacanthodes maculatus,Actinopteri
10128,Liparis tunicatus,Actinopteri
10129,Myoxocephalus scorpioides,Actinopteri
10130,Loligo pealeii,Cephalopoda
10131,Cottunculus microps,Actinopteri
10132,Paraliparis garmani,Actinopteri
10133,Lycenchelys paxillus,Actinopteri
10134,Paraliparis copei,Actinopteri
10135,Liparis inquilinus,Actinopteri
10136,Microgadus tomcod,Actinopteri
10137,Myoxocephalus aenaeus,Actinopteri
10138,Gaidropsarus ensis,Actinopteri
10139,Malacosteinae ,Actinopteri
10140,Eumesogrammus praecisus,Actinopteri
10141,Acipenser oxyrinchus,Actinopteri
10142,Coryphaenoides rupestris,Actinopteri
10143,Lycenchelys verrillii,Actinopteri
10144,Lampridiformes ,Actinopteri
10145,Benthodesmus simonyi,Actinopteri
10146,Magnisudis atlantica,Actinopteri
10147,Lycodes reticulatus,Actinopteri
10148,Careproctus reinhardti,Actinopteri
10149,Icelus bicornis,Actinopteri
10150,Borostomias ,Actinopteri
10151,Cottunculus thomsonii,Actinopteri
10152,Myctophum ,Actinopteri
10153,Symphurus ,Actinopteri
10154,Benthosema ,Actinopteri
10155,Lycodes polaris,Actinopteri
10156,Anotopterus pharao,Actinopteri
10157,Polyipnus asteroides,Actinopteri
10158,Myctophiformes ,Actinopteri
10159,Grammicolepis brachiusculus,Actinopteri
10160,Lumpenus fabricii,Actinopteri
10161,Argyropelecus ,Actinopteri
10162,Agonidae ,Actinopteri
10163,Ceratoscopelus maderensis,Actinopteri
10164,Hyperoglyphe perciformis,Actinopteri
10165,Xiphias gladius,Actinopteri
10166,Polymixia nobilis,Actinopteri
10167,Ophichthus cruentifer,Actinopteri
10168,Beryciformes ,Actinopteri
10169,Serrivomer ,Actinopteri
10170,Ophidioidei ,Actinopteri
10171,Macrourus berglax,Actinopteri
10172,Paraliparis calidus,Actinopteri
10173,Gadus ogac,Actinopteri
10174,Bathylagus euryops,Actinopteri
10175,Lycodes eudipleurostictus,Actinopteri
10176,Cyclopteridae ,Actinopteri
10177,Anguillidae ,Actinopteri
10178,Careproctus longipinnis,Actinopteri
10179,Stichaeidae ,Actinopteri
10180,Liparis coheni,Actinopteri
10181,Bathyraja spinicauda,Chondrichthyes
10182,Scomberesox saurus,Actinopteri
10183,Gymnocanthus tricuspis,Actinopteri
10184,Stichaeus punctatus,Actinopteri
10185,Ulcina olrikii,Actinopteri
10186,Conger ,Actinopteri
10187,Pholis fasciata,Actinopteri
10188,Naucrates ductor,Actinopteri
10189,Bothus ,Actinopteri
10190,Rajiformes ,Chondrichthyes
10191,Stomias ,Actinopteri
10192,Urophycis ,Actinopteri
10193,Serrivomer beanii,Actinopteri
10194,Polyacanthonotus rissoanus,Actinopteri
10195,Careproctus ranula,Actinopteri
10196,Lumpenus ,Actinopteri
10197,Ceratias holboelli,Actinopteri
10198,Benthodesmus tenuis,Actinopteri
10199,Dictyosphaeria versluysii,Ulvophyceae
10200,Halimeda discoidea,Ulvophyceae
10201,Halimeda opuntia,Ulvophyceae
10202,Neomeris ,Ulvophyceae
10203,Caulerpa microphysa,Ulvophyceae
10204,Cyanobacteria ,
10205,Dichotomaria ,Florideophyceae
10206,Dictyosphaeria cavernosa,Ulvophyceae
10207,Halimeda velasquezii,Ulvophyceae
10208,Lobophora variegata,Phaeophyceae
10209,Liagora ,Florideophyceae
10210,Microdictyon setchellianum,Ulvophyceae
10211,Predaea weldii,Florideophyceae
10212,Chondrophycus ,Florideophyceae
10213,Dictyosphaeria ,Ulvophyceae
10214,Halimeda ,Ulvophyceae
10215,Lobophora ,Insecta
10216,Galaxaura ,Florideophyceae
10217,Gelid ,
10218,Cladophoropsis ,Ulvophyceae
10219,Dictyota ceylanica,Phaeophyceae
10220,Dictyota friabilis,Phaeophyceae
10221,Padina melemele,Phaeophyceae
10222,Rhipidosiphon javensis,Ulvophyceae
10223,Stypopodium flabelliforme,Phaeophyceae
10224,Melanamansia glomerata,Florideophyceae
10225,Neomeris annulata,Ulvophyceae
10226,Padina ,Phaeophyceae
10227,Dasya iridescens,Florideophyceae
10228,Gibsmithia hawaiiensis,Florideophyceae
10229,Halichrysis coalescens,Florideophyceae
10230,Rhipilia sinuosa,Ulvophyceae
10231,Caulerpa ,Ulvophyceae
10232,Ventricaria ventricosa,Ulvophyceae
10233,Bryopsis pennata,Ulvophyceae
10234,Amphiroa ,Florideophyceae
10235,Martensia ,Florideophyceae
10236,Hypnea ,Florideophyceae
10237,Martensia fragilis,Florideophyceae
10238,Portieria hornemannii,Florideophyceae
10239,Chlorodesmis ,Ulvophyceae
10240,Exophyllum ,Florideophyceae
10241,Boodlea hebetata,Ulvophyceae
10242,Dasya kristeniae,Florideophyceae
10243,Halimeda gracilis,Ulvophyceae
10244,Haloplegma duperreyi,Florideophyceae
10245,Nemastoma ,Florideophyceae
10246,Microdictyon ,Ulvophyceae
10247,Rhipilia orientalis,Ulvophyceae
10248,Caulerpa urvilleana,Ulvophyceae
10249,Microdictyon umbillicatum,Ulvophyceae
10250,Valonia fastigiata,Ulvophyceae
10251,Chlorodesmis caespitosa,Ulvophyceae
10252,Dictyopteris palagiogramma,Phaeophyceae
10253,Haliptilon subulatum,Florideophyceae
10254,Caulerpa webbiana,Ulvophyceae
10255,Dictyota acutiloba,Phaeophyceae
10256,Tolypiocladia glomerulata,Florideophyceae
10257,Caulerpa taxifolia,Ulvophyceae
10258,Turbinaria ornata,Phaeophyceae
10259,Caulerpa serrulata,Ulvophyceae
10260,Avrainvillea ,Ulvophyceae
10261,Caulerpa turbinata,Ulvophyceae
10262,Halimeda taenicola,Ulvophyceae
10263,Botryocladia ,Florideophyceae
10264,Asparagopsis ,Florideophyceae
10265,Valonia ,Insecta
10266,Turbinaria ,Phaeophyceae
10267,Actinotrichia ,Florideophyceae
10268,Amansia ,Florideophyceae
10269,Gibsmithia ,Florideophyceae
10270,Haloplegma ,Florideophyceae
10271,Tydemania ,Actinopteri
10272,Caulerpa sertularioides,Ulvophyceae
10273,Amphiroa fragillissima,Florideophyceae
10274,Botryocladia skottsbergii,Florideophyceae
10275,Galaxaura cohaerens,Florideophyceae
10276,Hormothamnion ,Cyanophyceae
10277,Neomeris van-bosseae,Ulvophyceae
10278,Padina boergesenii,Phaeophyceae
10279,Asparagopsis taxiformis,Florideophyceae
10280,Caulerpa cupressoides,Ulvophyceae
10281,Crouania ,Florideophyceae
10282,Gelidiopsis ,Florideophyceae
10283,Jania capillacea,Florideophyceae
10284,Mesophyllum funagutiense,Florideophyceae
10285,Portieria harveyi,Florideophyceae
10286,Tolypiocladia calodictyon,Florideophyceae
10287,Codium edule,Ulvophyceae
10288,Cheilosporum culturatum,Florideophyceae
10289,Peyssonnelia inamoena,Florideophyceae
10290,Actinotrichia fragilis,Florideophyceae
10291,Caulerpa verticillata,Ulvophyceae
10292,Halichrysis ,Florideophyceae
10293,Boodlea transitans,Ulvophyceae
10294,Ganonema farinosum,Florideophyceae
10295,Laurencia galtsoffii,Florideophyceae
10296,Acanthophora pacifica,Florideophyceae
10297,Platoma ardreanum,Florideophyceae
10298,Nitophyllum ,Florideophyceae
10299,Titanophora ,Florideophyceae
10300,Chlorodesmis fastigiata,Ulvophyceae
10301,Tydemania expeditionis,Ulvophyceae
10302,Carpopeltis ,Florideophyceae
10303,Portieria ,Florideophyceae
10304,Avrainvillea erecta,Ulvophyceae
10305,Boergesenia transitans,Ulvophyceae
10306,Tricleocarpa fragilis,Florideophyceae
10307,Caulerpa nummularia,Ulvophyceae
10308,Chondrophycus parvipapillatus,Florideophyceae
10309,Dotyella hawaiiensis,Magnoliopsida
10310,Martensia flabelliformis,Florideophyceae
10311,Amphiroa foliacea,Florideophyceae
10312,Acanthophora ,Florideophyceae
10313,Trichogloeopsis ,Florideophyceae
10314,Chrysymenia ,Florideophyceae
10315,Halimeda fragilis,Ulvophyceae
10316,Caulerpa geminata,Ulvophyceae
10317,Caulerpa racemosa,Ulvophyceae
10318,Avrainvillea lacerata,Ulvophyceae
