GENUS_SPECIES,Reason
Brachiopoda ,Not found in any DB
Monostyliferoidea ,Not found in any DB
Coronadena ,Not found in any DB
Miontodiscus prolongatus,Not found in any DB
Ectoprocta ,Not found in any DB
Bullamorpha sp1,Not found in any DB
Animalia ,Not found in any DB
Ostieichthyes ,Not found in any DB
Ostracodea fam18,Not found in any DB
Nemertea spe,Not found in any DB
Doridoida ,Not found in any DB
Lipinella ,Not found in any DB
Aeolidacea ,Not found in any DB
Actinopterygii ,Not found in any DB
Typhloplanoidea ,Not found in any DB
Rajiformies ,Not found in any DB
Sipunculida ,Not found in any DB
Brachiopoa ,Not found in any DB
Aphroditacea ,Not found in any DB
Tardigrada ,Not found in any DB
Coelenterate ,Not found in any DB
pagurid ,Not found in any DB
hydroid ,Not found in any DB
Lomopsis sp1,Not found in any DB
Photololligo sp1,Not found in any DB
Bryozoan sp35,Not found in any DB
Lisoporcellana sp3194,Not found in any DB
Naxoides sp53287,Not found in any DB
Gorgonian sp10,Not found in any DB
Gorgonian sp11,Not found in any DB
Gorgonian sp8,Not found in any DB
Gorgonian sp9,Not found in any DB
Bryozoan sp39,Not found in any DB
Polychaete tubes,Not found in any DB
Bryozoan community,Not found in any DB
Cenocardium fornicata,Not found in any DB
Holothurian melting,Not found in any DB
Gorgonian sp81,Not found in any DB
Haraldphyllum sp1,Not found in any DB
Gorgonian sp78,Not found in any DB
Gorgonian community,Not found in any DB
Ophiadaster sp1,Not found in any DB
Naxoides sp024302,Not found in any DB
Holothurian damaged,Not found in any DB
Bryozoan sp43,Not found in any DB
Gorgonian sp7,Not found in any DB
Gorgonian dying,Not found in any DB
Nemertea sp6,Not found in any DB
Nemertea sp3,Not found in any DB
Nemertea sp9,Not found in any DB
Nemertea sp1,Not found in any DB
Nemertea sp10,Not found in any DB
Nemertea sp4,Not found in any DB
Nemertea sp11,Not found in any DB
Nemertea sp12,Not found in any DB
Entoprocta ,Not found in any DB
Nemertea sp8,Not found in any DB
Euryplus sp1,Not found in any DB
Pleusymptes sp4,Not found in any DB
Dikonophura fam1,Not found in any DB
