AEZ,cluster_within_aez,n_sites,max_dist_to_medoid,method,cluster_id
AEZ2,4,16,2328.2442106189683,CLARA,AEZ2_CLARA_4
AEZ14,6,19,7117.131716330265,CLARA,AEZ14_CLARA_6
AEZ7,1,9,2480.8126568210123,CLARA,AEZ7_CLARA_1
AEZ7,2,12,4001.2026591673625,CLARA,AEZ7_CLARA_2
AEZ7,3,3,350.86470508827136,CLARA,AEZ7_CLARA_3
AEZ7,18,18,2849.7297960044025,CLARA,AEZ7_CLARA_18
AEZ7,24,2,10122.891712505405,CLARA,AEZ7_CLARA_24
AEZ7,33,3,7129.681433445074,CLARA,AEZ7_CLARA_33
AEZ7,34,4,2277.7842836104446,CLARA,AEZ7_CLARA_34
AEZ7,35,2,1237.5331032124363,CLARA,AEZ7_CLARA_35
AEZ16,6,29,2082.259927741061,CLARA,AEZ16_CLARA_6
AEZ16,8,18,1560.8229854547076,CLARA,AEZ16_CLARA_8
AEZ16,9,15,2628.9466547689253,CLARA,AEZ16_CLARA_9
AEZ16,13,6,9363.14886355613,CLARA,AEZ16_CLARA_13
AEZ16,14,9,2345.99709429205,CLARA,AEZ16_CLARA_14
AEZ16,16,23,1689.286122969942,CLARA,AEZ16_CLARA_16
AEZ8,2,8,3447.8228595007854,CLARA,AEZ8_CLARA_2
AEZ8,3,3,591.5513673849409,CLARA,AEZ8_CLARA_3
AEZ8,4,4,2611.694965559789,CLARA,AEZ8_CLARA_4
AEZ8,5,6,3006.0412652976,CLARA,AEZ8_CLARA_5
AEZ8,6,6,1767.4781603817826,CLARA,AEZ8_CLARA_6
AEZ8,7,9,2771.3010030564296,CLARA,AEZ8_CLARA_7
AEZ8,27,9,2669.589297930828,CLARA,AEZ8_CLARA_27
AEZ8,28,9,3686.651504857712,CLARA,AEZ8_CLARA_28
AEZ8,29,7,3171.3488484362224,CLARA,AEZ8_CLARA_29
AEZ8,30,5,2353.527304108848,CLARA,AEZ8_CLARA_30
AEZ8,31,7,7325.7585407329625,CLARA,AEZ8_CLARA_31
AEZ8,52,2,8852.787341945792,CLARA,AEZ8_CLARA_52
AEZ8,53,3,4186.302456672221,CLARA,AEZ8_CLARA_53
AEZ8,55,2,9724.11242664762,CLARA,AEZ8_CLARA_55
AEZ8,62,10,7619.551806543196,CLARA,AEZ8_CLARA_62
AEZ8,63,4,10373.504935997064,CLARA,AEZ8_CLARA_63
AEZ8,66,4,11271.20613734747,CLARA,AEZ8_CLARA_66
AEZ8,68,3,2915.9987700374922,CLARA,AEZ8_CLARA_68
AEZ8,70,2,8385.899451976027,CLARA,AEZ8_CLARA_70
AEZ8,77,2,7404.806887415779,CLARA,AEZ8_CLARA_77
AEZ8,81,4,5653.207190145316,CLARA,AEZ8_CLARA_81
AEZ8,84,2,3331.9210841916542,CLARA,AEZ8_CLARA_84
AEZ8,87,4,6647.403995840742,CLARA,AEZ8_CLARA_87
AEZ8,91,4,7387.184720876668,CLARA,AEZ8_CLARA_91
AEZ4,6,10,2913.676903621852,CLARA,AEZ4_CLARA_6
AEZ4,7,7,4839.086048151627,CLARA,AEZ4_CLARA_7
AEZ4,8,10,7104.246765180898,CLARA,AEZ4_CLARA_8
AEZ4,9,7,2549.565830916444,CLARA,AEZ4_CLARA_9
AEZ4,10,9,4236.7214786571385,CLARA,AEZ4_CLARA_10
AEZ4,41,3,1378.9677960247864,CLARA,AEZ4_CLARA_41
AEZ4,42,3,265.0191214678597,CLARA,AEZ4_CLARA_42
AEZ4,43,5,3009.7355914929535,CLARA,AEZ4_CLARA_43
AEZ4,44,3,852.4037626084861,CLARA,AEZ4_CLARA_44
AEZ4,46,4,1565.3131655137815,CLARA,AEZ4_CLARA_46
AEZ4,48,2,633.2332956524615,CLARA,AEZ4_CLARA_48
AEZ3,14,8,3700.9053998874647,CLARA,AEZ3_CLARA_14
AEZ3,15,15,2512.7744668262862,CLARA,AEZ3_CLARA_15
AEZ3,21,9,3453.698197702968,CLARA,AEZ3_CLARA_21
AEZ3,22,7,4111.4141549695005,CLARA,AEZ3_CLARA_22
AEZ3,23,4,6134.744925826181,CLARA,AEZ3_CLARA_23
AEZ3,24,5,4348.375378377073,CLARA,AEZ3_CLARA_24
AEZ3,25,8,4585.601187013119,CLARA,AEZ3_CLARA_25
AEZ3,27,6,2400.588111522334,CLARA,AEZ3_CLARA_27
AEZ3,28,8,2250.295348768764,CLARA,AEZ3_CLARA_28
AEZ3,29,6,5129.585890364776,CLARA,AEZ3_CLARA_29
AEZ3,30,7,5281.150600289031,CLARA,AEZ3_CLARA_30
AEZ3,31,6,8274.357343378313,CLARA,AEZ3_CLARA_31
AEZ3,32,5,6097.9526561318335,CLARA,AEZ3_CLARA_32
AEZ3,33,6,3063.4175983776013,CLARA,AEZ3_CLARA_33
AEZ3,34,3,1671.0669996015718,CLARA,AEZ3_CLARA_34
AEZ3,35,3,3911.5067688913227,CLARA,AEZ3_CLARA_35
AEZ3,36,3,2642.7893032271563,CLARA,AEZ3_CLARA_36
AEZ3,38,5,4652.399620652987,CLARA,AEZ3_CLARA_38
AEZ3,39,5,4667.280611108996,CLARA,AEZ3_CLARA_39
AEZ3,40,5,7264.173789865201,CLARA,AEZ3_CLARA_40
AEZ3,41,4,3482.059633941316,CLARA,AEZ3_CLARA_41
AEZ3,42,9,5665.094989350629,CLARA,AEZ3_CLARA_42
AEZ3,43,4,4153.800517637181,CLARA,AEZ3_CLARA_43
AEZ3,44,4,4098.5461896269735,CLARA,AEZ3_CLARA_44
AEZ3,46,3,4296.321693678482,CLARA,AEZ3_CLARA_46
AEZ3,47,3,5284.027142156304,CLARA,AEZ3_CLARA_47
AEZ3,49,4,3242.4885425289685,CLARA,AEZ3_CLARA_49
AEZ3,50,11,9138.093191301936,CLARA,AEZ3_CLARA_50
AEZ3,51,9,6944.619161501403,CLARA,AEZ3_CLARA_51
AEZ3,52,11,7628.763567382604,CLARA,AEZ3_CLARA_52
AEZ3,68,44,614.9283210267427,CLARA,AEZ3_CLARA_68
AEZ3,69,15,3099.3479249757656,CLARA,AEZ3_CLARA_69
AEZ3,70,24,2616.7914250048093,CLARA,AEZ3_CLARA_70
AEZ3,71,16,812.1084955687609,CLARA,AEZ3_CLARA_71
AEZ3,72,18,3809.2935219065266,CLARA,AEZ3_CLARA_72
AEZ3,74,6,4395.2911180250685,CLARA,AEZ3_CLARA_74
AEZ3,76,4,2593.20247068811,CLARA,AEZ3_CLARA_76
AEZ3,78,2,710.3099145313065,CLARA,AEZ3_CLARA_78
AEZ3,79,1,0,CLARA,AEZ3_CLARA_79
AEZ3,82,3,164.56917485940997,CLARA,AEZ3_CLARA_82
AEZ3,83,1,0,CLARA,AEZ3_CLARA_83
AEZ3,85,1,0,CLARA,AEZ3_CLARA_85
AEZ3,86,1,0,CLARA,AEZ3_CLARA_86
AEZ3,87,4,3841.7118011559137,CLARA,AEZ3_CLARA_87
AEZ3,90,15,2349.3490321545537,CLARA,AEZ3_CLARA_90
AEZ15,3,4,2538.769472570132,CLARA,AEZ15_CLARA_3
AEZ15,4,3,9435.300868395541,CLARA,AEZ15_CLARA_4
AEZ15,5,6,5462.778259449382,CLARA,AEZ15_CLARA_5
AEZ15,6,3,10959.645174354939,CLARA,AEZ15_CLARA_6
AEZ15,7,5,8210.487566903666,CLARA,AEZ15_CLARA_7
AEZ15,8,3,5596.931371730562,CLARA,AEZ15_CLARA_8
AEZ15,9,3,8860.928074056324,CLARA,AEZ15_CLARA_9
AEZ15,10,2,1719.4497588847487,CLARA,AEZ15_CLARA_10
AEZ15,11,2,54.425667662107244,CLARA,AEZ15_CLARA_11
AEZ15,12,2,183.32393247727305,CLARA,AEZ15_CLARA_12
AEZ15,13,4,1338.0171321855025,CLARA,AEZ15_CLARA_13
AEZ15,19,20,2035.7417750050454,CLARA,AEZ15_CLARA_19
AEZ15,20,5,246.80312013051088,CLARA,AEZ15_CLARA_20
AEZ15,21,9,1793.5714831531968,CLARA,AEZ15_CLARA_21
AEZ15,22,10,1059.117975903771,CLARA,AEZ15_CLARA_22
AEZ15,23,5,518.2749249661122,CLARA,AEZ15_CLARA_23
AEZ15,24,5,401.5126012275871,CLARA,AEZ15_CLARA_24
AEZ15,25,5,398.6651361029072,CLARA,AEZ15_CLARA_25
AEZ15,26,5,425.8113657725889,CLARA,AEZ15_CLARA_26
AEZ15,27,5,445.2910842832721,CLARA,AEZ15_CLARA_27
AEZ15,28,5,3206.7674273142215,CLARA,AEZ15_CLARA_28
AEZ15,29,5,1773.8058730914172,CLARA,AEZ15_CLARA_29
AEZ15,30,5,467.14028042174283,CLARA,AEZ15_CLARA_30
AEZ15,31,5,358.36651356144654,CLARA,AEZ15_CLARA_31
AEZ15,32,5,1224.8525320930048,CLARA,AEZ15_CLARA_32
AEZ15,33,5,729.369019574444,CLARA,AEZ15_CLARA_33
AEZ15,51,2,11714.056192004273,CLARA,AEZ15_CLARA_51
AEZ15,68,2,12348.051904345668,CLARA,AEZ15_CLARA_68
AEZ5,5,9,6367.984125361972,CLARA,AEZ5_CLARA_5
AEZ5,11,4,2401.485497199141,CLARA,AEZ5_CLARA_11
AEZ5,30,4,1881.8306901964063,CLARA,AEZ5_CLARA_30
AEZ5,50,5,1661.3703993624652,CLARA,AEZ5_CLARA_50
AEZ9,2,3,9069.093617360137,CLARA,AEZ9_CLARA_2
AEZ9,9,2,10940.740262563091,CLARA,AEZ9_CLARA_9
AEZ9,10,3,11432.586602235633,CLARA,AEZ9_CLARA_10
AEZ9,24,4,377.8849433745715,CLARA,AEZ9_CLARA_24
AEZ9,35,1,0,CLARA,AEZ9_CLARA_35
AEZ9,78,10,7420.479350464374,CLARA,AEZ9_CLARA_78
AEZ9,79,12,1699.1587202608744,CLARA,AEZ9_CLARA_79
AEZ9,80,17,2271.498800135017,CLARA,AEZ9_CLARA_80
AEZ9,81,15,4841.018865113279,CLARA,AEZ9_CLARA_81
AEZ9,82,8,1754.8889824430819,CLARA,AEZ9_CLARA_82
AEZ9,85,6,1399.4490228336185,CLARA,AEZ9_CLARA_85
AEZ9,86,4,3248.298456123121,CLARA,AEZ9_CLARA_86
AEZ9,115,4,2729.8091620290897,CLARA,AEZ9_CLARA_115
AEZ9,118,2,608.5484977472142,CLARA,AEZ9_CLARA_118
AEZ9,135,14,6411.65520806736,CLARA,AEZ9_CLARA_135
AEZ9,136,8,948.7976488024295,CLARA,AEZ9_CLARA_136
AEZ9,137,10,2406.024554795677,CLARA,AEZ9_CLARA_137
AEZ9,162,4,3240.021733189496,CLARA,AEZ9_CLARA_162
AEZ9,164,4,3986.6872772245097,CLARA,AEZ9_CLARA_164
AEZ9,167,2,10937.648210491967,CLARA,AEZ9_CLARA_167
AEZ9,207,11,334.09342252957106,CLARA,AEZ9_CLARA_207
AEZ12,1,6,3421.8299259985934,CLARA,AEZ12_CLARA_1
AEZ12,2,7,3094.3297595147246,CLARA,AEZ12_CLARA_2
AEZ12,4,4,11509.530599270112,CLARA,AEZ12_CLARA_4
AEZ12,5,7,4667.175745008257,CLARA,AEZ12_CLARA_5
AEZ12,7,3,7942.223022275411,CLARA,AEZ12_CLARA_7
AEZ12,11,17,2804.066346272272,CLARA,AEZ12_CLARA_11
AEZ12,12,17,2594.6997779172575,CLARA,AEZ12_CLARA_12
AEZ12,13,17,2837.251233878795,CLARA,AEZ12_CLARA_13
AEZ12,14,5,3878.839528002191,CLARA,AEZ12_CLARA_14
AEZ12,15,8,3647.4469438921888,CLARA,AEZ12_CLARA_15
AEZ12,22,2,2840.6550810880494,CLARA,AEZ12_CLARA_22
AEZ12,25,1,0,CLARA,AEZ12_CLARA_25
AEZ12,26,6,8692.70025076213,CLARA,AEZ12_CLARA_26
AEZ12,27,4,8550.738552959721,CLARA,AEZ12_CLARA_27
AEZ12,28,6,3126.1983802135032,CLARA,AEZ12_CLARA_28
AEZ12,29,10,1816.4199968297842,CLARA,AEZ12_CLARA_29
AEZ12,30,7,4999.7925964131455,CLARA,AEZ12_CLARA_30
AEZ12,32,2,5888.657810066069,CLARA,AEZ12_CLARA_32
AEZ12,33,3,707.8376762832895,CLARA,AEZ12_CLARA_33
AEZ12,34,2,837.9283917290674,CLARA,AEZ12_CLARA_34
AEZ12,35,2,700.7128420517735,CLARA,AEZ12_CLARA_35
AEZ12,36,2,1181.8602064330498,CLARA,AEZ12_CLARA_36
AEZ12,37,2,4871.065926651528,CLARA,AEZ12_CLARA_37
AEZ12,40,17,9414.852419416495,CLARA,AEZ12_CLARA_40
AEZ12,42,7,3391.4625351862737,CLARA,AEZ12_CLARA_42
AEZ12,46,22,1630.9142458843369,CLARA,AEZ12_CLARA_46
AEZ12,58,3,9388.192012030115,CLARA,AEZ12_CLARA_58
AEZ12,76,3,5814.24865897754,CLARA,AEZ12_CLARA_76
AEZ12,88,36,1498.1481798765988,CLARA,AEZ12_CLARA_88
AEZ12,89,23,1472.5333581374693,CLARA,AEZ12_CLARA_89
AEZ12,91,10,1284.0163383977117,CLARA,AEZ12_CLARA_91
AEZ12,96,19,1731.4782667792115,CLARA,AEZ12_CLARA_96
AEZ12,97,8,3759.714513644576,CLARA,AEZ12_CLARA_97
AEZ12,125,9,1684.1209000234205,CLARA,AEZ12_CLARA_125
AEZ12,144,5,11950.95390077847,CLARA,AEZ12_CLARA_144
AEZ12,146,53,1530.2630688120616,CLARA,AEZ12_CLARA_146
AEZ12,147,44,1274.3199077621716,CLARA,AEZ12_CLARA_147
AEZ12,148,33,1726.7351998452455,CLARA,AEZ12_CLARA_148
AEZ12,160,1,0,CLARA,AEZ12_CLARA_160
AEZ12,161,2,3255.6008275336376,CLARA,AEZ12_CLARA_161
AEZ12,162,12,1980.0892199391399,CLARA,AEZ12_CLARA_162
AEZ12,163,22,2812.328732055881,CLARA,AEZ12_CLARA_163
AEZ12,164,12,3749.9717069168555,CLARA,AEZ12_CLARA_164
AEZ12,168,5,2604.0051544578146,CLARA,AEZ12_CLARA_168
AEZ12,169,4,4267.70682049957,CLARA,AEZ12_CLARA_169
AEZ12,170,3,87.02646881106118,CLARA,AEZ12_CLARA_170
AEZ12,171,2,49.265733895461764,CLARA,AEZ12_CLARA_171
AEZ12,172,3,133.07980868944148,CLARA,AEZ12_CLARA_172
AEZ12,180,5,4140.893396309579,CLARA,AEZ12_CLARA_180
AEZ12,183,3,5420.814804147323,CLARA,AEZ12_CLARA_183
AEZ12,214,7,4661.218387307766,CLARA,AEZ12_CLARA_214
AEZ12,215,12,3600.7319477321757,CLARA,AEZ12_CLARA_215
AEZ12,216,6,2480.331557621605,CLARA,AEZ12_CLARA_216
AEZ12,217,7,3136.3389877432105,CLARA,AEZ12_CLARA_217
AEZ12,225,21,4430.86624498499,CLARA,AEZ12_CLARA_225
AEZ12,226,3,9289.48268719634,CLARA,AEZ12_CLARA_226
AEZ12,230,3,3080.1510989649155,CLARA,AEZ12_CLARA_230
AEZ11,2,6,12323.758176640034,CLARA,AEZ11_CLARA_2
AEZ11,3,5,11822.390448936087,CLARA,AEZ11_CLARA_3
AEZ11,4,11,8710.195109931654,CLARA,AEZ11_CLARA_4
AEZ11,6,4,10982.88402334038,CLARA,AEZ11_CLARA_6
AEZ11,18,78,11837.301233071777,CLARA,AEZ11_CLARA_18
AEZ11,23,6,11127.508776973202,CLARA,AEZ11_CLARA_23
AEZ11,24,8,12459.319042809331,CLARA,AEZ11_CLARA_24
AEZ11,25,10,11845.135465567384,CLARA,AEZ11_CLARA_25
AEZ11,26,1,0,CLARA,AEZ11_CLARA_26
AEZ11,31,18,11687.653283390753,CLARA,AEZ11_CLARA_31
AEZ11,32,18,11504.806843071405,CLARA,AEZ11_CLARA_32
AEZ11,33,18,10197.090424404034,CLARA,AEZ11_CLARA_33
AEZ11,34,23,9836.489875968322,CLARA,AEZ11_CLARA_34
AEZ11,35,9,2054.958462984349,CLARA,AEZ11_CLARA_35
AEZ11,36,21,12121.260210076087,CLARA,AEZ11_CLARA_36
AEZ11,37,19,10168.914493905153,CLARA,AEZ11_CLARA_37
AEZ11,38,27,11812.537384644453,CLARA,AEZ11_CLARA_38
AEZ11,39,20,10734.030845272659,CLARA,AEZ11_CLARA_39
AEZ11,40,57,7588.435632819437,CLARA,AEZ11_CLARA_40
AEZ11,41,49,5955.78157896762,CLARA,AEZ11_CLARA_41
AEZ11,42,17,5144.327215307644,CLARA,AEZ11_CLARA_42
AEZ11,43,8,9412.186764217844,CLARA,AEZ11_CLARA_43
AEZ11,44,11,11899.705057485977,CLARA,AEZ11_CLARA_44
AEZ11,45,4,10951.11336763299,CLARA,AEZ11_CLARA_45
AEZ11,46,4,12452.82060234585,CLARA,AEZ11_CLARA_46
AEZ11,55,16,12066.897170275888,CLARA,AEZ11_CLARA_55
AEZ11,58,6,12466.06802528543,CLARA,AEZ11_CLARA_58
AEZ11,59,41,12434.71893118086,CLARA,AEZ11_CLARA_59
AEZ11,60,8,11771.455854692946,CLARA,AEZ11_CLARA_60
AEZ11,61,8,10425.872482105891,CLARA,AEZ11_CLARA_61
AEZ11,62,80,11172.123813675007,CLARA,AEZ11_CLARA_62
AEZ11,63,23,12393.595920218724,CLARA,AEZ11_CLARA_63
AEZ11,64,7,11812.272630638976,CLARA,AEZ11_CLARA_64
AEZ11,65,2,2454.107100739193,CLARA,AEZ11_CLARA_65
AEZ11,66,4,1699.915599232995,CLARA,AEZ11_CLARA_66
AEZ11,67,3,2746.6878732538203,CLARA,AEZ11_CLARA_67
AEZ11,68,2,5491.372608131222,CLARA,AEZ11_CLARA_68
AEZ11,85,1,0,CLARA,AEZ11_CLARA_85
AEZ11,86,1,0,CLARA,AEZ11_CLARA_86
AEZ11,87,3,5525.217019593695,CLARA,AEZ11_CLARA_87
AEZ11,88,3,6266.175386524721,CLARA,AEZ11_CLARA_88
AEZ11,90,1,0,CLARA,AEZ11_CLARA_90
AEZ11,91,1,0,CLARA,AEZ11_CLARA_91
AEZ11,99,3,4391.587484673124,CLARA,AEZ11_CLARA_99
AEZ11,100,2,3125.533493768424,CLARA,AEZ11_CLARA_100
AEZ11,103,111,8971.190794011198,CLARA,AEZ11_CLARA_103
AEZ11,104,2,6593.340050137513,CLARA,AEZ11_CLARA_104
AEZ11,111,12,8602.61523540315,CLARA,AEZ11_CLARA_111
AEZ11,115,57,10398.515987799838,CLARA,AEZ11_CLARA_115
AEZ11,142,2,12240.08445403701,CLARA,AEZ11_CLARA_142
AEZ11,143,2,1208.8860234486783,CLARA,AEZ11_CLARA_143
AEZ11,144,1,0,CLARA,AEZ11_CLARA_144
AEZ11,145,2,8083.3931296441315,CLARA,AEZ11_CLARA_145
AEZ11,146,1,0,CLARA,AEZ11_CLARA_146
AEZ11,153,20,2550.79432737922,CLARA,AEZ11_CLARA_153
AEZ11,154,9,1336.454961189404,CLARA,AEZ11_CLARA_154
AEZ11,179,1,0,CLARA,AEZ11_CLARA_179
AEZ11,187,1,0,CLARA,AEZ11_CLARA_187
AEZ11,189,7,3903.2758157828307,CLARA,AEZ11_CLARA_189
AEZ11,195,2,24.590926036916848,CLARA,AEZ11_CLARA_195
AEZ11,196,12,8865.225361694813,CLARA,AEZ11_CLARA_196
AEZ11,197,15,12476.424387831017,CLARA,AEZ11_CLARA_197
AEZ11,198,17,12277.551750162962,CLARA,AEZ11_CLARA_198
AEZ11,199,13,11301.2057745028,CLARA,AEZ11_CLARA_199
AEZ11,201,6,11443.485723922808,CLARA,AEZ11_CLARA_201
AEZ11,202,3,12334.685390864572,CLARA,AEZ11_CLARA_202
AEZ11,235,5,8202.831542969278,CLARA,AEZ11_CLARA_235
AEZ11,236,3,715.2654482490665,CLARA,AEZ11_CLARA_236
AEZ11,238,5,9969.204253037793,CLARA,AEZ11_CLARA_238
AEZ11,239,5,11299.614195809681,CLARA,AEZ11_CLARA_239
AEZ11,240,4,7880.7190402042725,CLARA,AEZ11_CLARA_240
AEZ11,241,2,8925.423435895991,CLARA,AEZ11_CLARA_241
AEZ11,242,7,12242.46781315307,CLARA,AEZ11_CLARA_242
AEZ11,243,3,6070.526356794924,CLARA,AEZ11_CLARA_243
AEZ11,244,3,8386.293276660057,CLARA,AEZ11_CLARA_244
AEZ11,245,6,10341.777948743502,CLARA,AEZ11_CLARA_245
AEZ11,247,6,11009.829043588159,CLARA,AEZ11_CLARA_247
AEZ11,248,2,6465.480862178449,CLARA,AEZ11_CLARA_248
AEZ11,250,2,8567.75149800768,CLARA,AEZ11_CLARA_250
AEZ11,251,9,9379.693608276037,CLARA,AEZ11_CLARA_251
AEZ11,252,3,6923.012524695961,CLARA,AEZ11_CLARA_252
AEZ11,253,4,10394.223495816479,CLARA,AEZ11_CLARA_253
AEZ11,254,2,12438.223603368171,CLARA,AEZ11_CLARA_254
AEZ11,255,2,788.2551830148304,CLARA,AEZ11_CLARA_255
AEZ11,256,3,9193.551808377,CLARA,AEZ11_CLARA_256
AEZ11,257,15,10611.984629115741,CLARA,AEZ11_CLARA_257
AEZ11,258,2,5023.529053121148,CLARA,AEZ11_CLARA_258
