AEZ,cluster_within_aez,n_sites,max_dist_to_medoid,method,cluster_id
AEZ2,3,16,2328.2442106189683,GRDY,AEZ2_GRDY_3
AEZ14,6,19,7117.131716330265,GRDY,AEZ14_GRDY_6
AEZ7,1,24,8541.173625501799,GRDY,AEZ7_GRDY_1
AEZ7,10,34,15434.59587300561,GRDY,AEZ7_GRDY_10
AEZ7,13,2,10122.891712505405,GRDY,AEZ7_GRDY_13
AEZ7,21,4,19158.760894177205,GRDY,AEZ7_GRDY_21
AEZ7,22,5,16725.31638231764,GRDY,AEZ7_GRDY_22
AEZ7,23,2,1237.5331032124363,GRDY,AEZ7_GRDY_23
AEZ7,38,3,16922.698758531653,GRDY,AEZ7_GRDY_38
AEZ16,4,2,13434.533107807913,GRDY,AEZ16_GRDY_4
AEZ16,5,73,19096.85667740016,GRDY,AEZ16_GRDY_5
AEZ16,6,42,9961.851732875264,GRDY,AEZ16_GRDY_6
AEZ16,7,7,19076.702422378403,GRDY,AEZ16_GRDY_7
AEZ16,8,23,18483.563651146145,GRDY,AEZ16_GRDY_8
AEZ16,9,6,8754.504946530069,GRDY,AEZ16_GRDY_9
AEZ8,2,36,11842.297261380429,GRDY,AEZ8_GRDY_2
AEZ8,14,30,8806.621605085886,GRDY,AEZ8_GRDY_14
AEZ8,15,7,7325.7585407329625,GRDY,AEZ8_GRDY_15
AEZ8,29,3,12670.477399609457,GRDY,AEZ8_GRDY_29
AEZ8,30,3,4186.302456672221,GRDY,AEZ8_GRDY_30
AEZ8,32,2,9724.11242664762,GRDY,AEZ8_GRDY_32
AEZ8,39,18,16053.281063626064,GRDY,AEZ8_GRDY_39
AEZ8,40,4,10373.504935997064,GRDY,AEZ8_GRDY_40
AEZ8,42,4,11271.20613734747,GRDY,AEZ8_GRDY_42
AEZ8,44,3,2915.9987700374922,GRDY,AEZ8_GRDY_44
AEZ8,46,2,8385.899451976027,GRDY,AEZ8_GRDY_46
AEZ8,52,2,13537.870655713075,GRDY,AEZ8_GRDY_52
AEZ8,53,3,13185.21157018126,GRDY,AEZ8_GRDY_53
AEZ8,55,2,17916.033797824304,GRDY,AEZ8_GRDY_55
AEZ8,57,4,17089.10332556816,GRDY,AEZ8_GRDY_57
