AEZ,cluster_within_aez,n_sites,max_dist_to_medoid,method,cluster_id
AEZ2,4,16,2328.2442106189683,PAMR,AEZ2_PAMR_4
AEZ14,6,19,7117.131716330265,PAMR,AEZ14_PAMR_6
AEZ7,1,9,2480.8126568210123,PAMR,AEZ7_PAMR_1
AEZ7,2,12,4001.2026591673625,PAMR,AEZ7_PAMR_2
AEZ7,3,3,350.86470508827136,PAMR,AEZ7_PAMR_3
AEZ7,17,18,2849.7297960044025,PAMR,AEZ7_PAMR_17
AEZ7,23,2,10122.891712505405,PAMR,AEZ7_PAMR_23
AEZ7,32,3,7129.681433445074,PAMR,AEZ7_PAMR_32
AEZ7,33,4,2277.7842836104446,PAMR,AEZ7_PAMR_33
AEZ7,34,2,1237.5331032124363,PAMR,AEZ7_PAMR_34
AEZ16,6,30,2111.428080973866,PAMR,AEZ16_PAMR_6
AEZ16,8,18,1560.8229854547076,PAMR,AEZ16_PAMR_8
AEZ16,9,15,2628.9466547689253,PAMR,AEZ16_PAMR_9
AEZ16,13,6,9363.14886355613,PAMR,AEZ16_PAMR_13
AEZ16,14,9,2345.99709429205,PAMR,AEZ16_PAMR_14
AEZ16,16,22,1641.1056492648743,PAMR,AEZ16_PAMR_16
AEZ8,2,8,3447.8228595007854,PAMR,AEZ8_PAMR_2
AEZ8,3,3,591.5513673849409,PAMR,AEZ8_PAMR_3
AEZ8,4,4,2611.694965559789,PAMR,AEZ8_PAMR_4
AEZ8,5,6,3006.0412652976,PAMR,AEZ8_PAMR_5
AEZ8,6,6,1767.4781603817826,PAMR,AEZ8_PAMR_6
AEZ8,7,9,2771.3010030564296,PAMR,AEZ8_PAMR_7
AEZ8,26,9,2669.589297930828,PAMR,AEZ8_PAMR_26
AEZ8,27,9,3686.651504857712,PAMR,AEZ8_PAMR_27
AEZ8,28,7,3171.3488484362224,PAMR,AEZ8_PAMR_28
AEZ8,29,5,2353.527304108848,PAMR,AEZ8_PAMR_29
AEZ8,30,7,7325.7585407329625,PAMR,AEZ8_PAMR_30
AEZ8,50,2,8852.787341945792,PAMR,AEZ8_PAMR_50
AEZ8,51,3,4186.302456672221,PAMR,AEZ8_PAMR_51
AEZ8,53,2,9724.11242664762,PAMR,AEZ8_PAMR_53
AEZ8,60,10,7619.551806543196,PAMR,AEZ8_PAMR_60
AEZ8,61,4,10373.504935997064,PAMR,AEZ8_PAMR_61
AEZ8,64,4,11271.20613734747,PAMR,AEZ8_PAMR_64
AEZ8,66,3,2915.9987700374922,PAMR,AEZ8_PAMR_66
AEZ8,68,2,8385.899451976027,PAMR,AEZ8_PAMR_68
AEZ8,75,2,7404.806887415779,PAMR,AEZ8_PAMR_75
AEZ8,79,5,6612.927591628842,PAMR,AEZ8_PAMR_79
AEZ8,81,2,3331.9210841916542,PAMR,AEZ8_PAMR_81
AEZ8,84,4,6647.403995840742,PAMR,AEZ8_PAMR_84
AEZ8,88,4,7387.184720876668,PAMR,AEZ8_PAMR_88
AEZ4,6,10,2913.676903621852,PAMR,AEZ4_PAMR_6
AEZ4,7,7,4839.086048151627,PAMR,AEZ4_PAMR_7
AEZ4,8,10,7104.246765180898,PAMR,AEZ4_PAMR_8
AEZ4,9,7,2549.565830916444,PAMR,AEZ4_PAMR_9
AEZ4,10,9,4236.7214786571385,PAMR,AEZ4_PAMR_10
AEZ4,40,3,1378.9677960247864,PAMR,AEZ4_PAMR_40
AEZ4,41,3,265.0191214678597,PAMR,AEZ4_PAMR_41
AEZ4,42,5,3009.7355914929535,PAMR,AEZ4_PAMR_42
AEZ4,43,3,852.4037626084861,PAMR,AEZ4_PAMR_43
AEZ4,45,4,1565.3131655137815,PAMR,AEZ4_PAMR_45
AEZ4,47,2,633.2332956524615,PAMR,AEZ4_PAMR_47
AEZ3,14,17,3768.1608737828938,PAMR,AEZ3_PAMR_14
AEZ3,20,9,3453.698197702968,PAMR,AEZ3_PAMR_20
AEZ3,21,7,4111.4141549695005,PAMR,AEZ3_PAMR_21
AEZ3,22,3,3276.4148780469272,PAMR,AEZ3_PAMR_22
AEZ3,23,5,4348.375378377073,PAMR,AEZ3_PAMR_23
AEZ3,24,10,4634.316374834237,PAMR,AEZ3_PAMR_24
AEZ3,25,7,3424.1383706562538,PAMR,AEZ3_PAMR_25
AEZ3,26,10,3901.9116620902178,PAMR,AEZ3_PAMR_26
AEZ3,27,5,2689.7376610597416,PAMR,AEZ3_PAMR_27
AEZ3,28,7,5281.150600289031,PAMR,AEZ3_PAMR_28
AEZ3,29,6,8274.357343378313,PAMR,AEZ3_PAMR_29
AEZ3,31,6,3063.4175983776013,PAMR,AEZ3_PAMR_31
AEZ3,32,3,1671.0669996015718,PAMR,AEZ3_PAMR_32
AEZ3,33,3,3911.5067688913227,PAMR,AEZ3_PAMR_33
AEZ3,34,4,12494.863240848888,PAMR,AEZ3_PAMR_34
AEZ3,35,5,4652.399620652987,PAMR,AEZ3_PAMR_35
AEZ3,36,5,4667.280611108996,PAMR,AEZ3_PAMR_36
AEZ3,37,5,7264.173789865201,PAMR,AEZ3_PAMR_37
