AEZ,lat_r,lon_r,x,y,n_years,years_single,cluster_within_aez,dist_to_medoid,year_rule_ok,method,cluster_id,cluster_missing
AEZ1,-5.195,-80.655,-7782100.933636059,-661859.7537634043,1,2006,0,0,FALSE,CLARA,NA,TRUE
AEZ1,-12.1083,-76.9907,-7428546.256912698,-1533524.7030114247,1,2006,0,0,FALSE,CLARA,NA,TRUE
AEZ1,-26.3906,17.9953,1736299.558998958,-3251815.24080226,1,2002,0,0,FALSE,CLARA,NA,TRUE
AEZ1,-26.4011,18.0047,1737206.5300333162,-3253018.2887229016,1,2002,0,1506.6256192314981,FALSE,CLARA,NA,TRUE
AEZ2,-19.6867,145.441,14033061.08597064,-2463618.3041178137,1,2003,0,901.0915996353408,FALSE,CLARA,NA,TRUE
AEZ2,-19.66,145.343,14023605.43050605,-2460406.0544430674,1,2003,0,8227.407334636344,FALSE,CLARA,NA,TRUE
AEZ2,-19.6125,145.347,14023991.375627058,-2454690.0878048833,1,2003,0,2608.7987025312523,FALSE,CLARA,NA,TRUE
AEZ2,-19.6085,145.348,14024087.861907309,-2454208.667930266,1,2003,0,2132.4890775682697,FALSE,CLARA,NA,TRUE
AEZ2,-19.594,145.34,14023315.971665302,-2452463.422916526,1,2003,0,1743.787951914272,FALSE,CLARA,NA,TRUE
AEZ2,-19.5927,145.358,14025052.724709813,-2452306.9451748957,1,2003,0,0,FALSE,CLARA,NA,TRUE
AEZ2,-19.5985,145.363,14025535.156111069,-2453005.0671101753,1,2003,0,848.5954828048409,FALSE,CLARA,NA,TRUE
AEZ2,-19.5795,145.371,14026307.046353078,-2450718.024414473,1,2003,0,2024.349764162426,FALSE,CLARA,NA,TRUE
AEZ2,-19.5787,145.377,14026885.964034583,-2450621.7221005065,1,2003,0,2490.1291597706304,FALSE,CLARA,NA,TRUE
AEZ2,-19.6816,145.441,14033061.08597064,-2463004.768710477,1,2003,0,945.0707467308299,FALSE,CLARA,NA,TRUE
AEZ2,-19.6986,145.449,14033832.976212649,-2465049.8125457373,1,2003,0,1674.8897535116373,FALSE,CLARA,NA,TRUE
AEZ2,-19.7001,145.46,14034894.325295407,-2465230.2474110764,1,2003,0,2088.7499408494236,FALSE,CLARA,NA,TRUE
AEZ2,-19.7026,145.453,14034218.921333652,-2465530.9685172685,1,2003,0,2172.63281226662,FALSE,CLARA,NA,TRUE
AEZ2,-19.6847,145.45,14033929.462492894,-2463377.7042704923,1,2003,0,0,FALSE,CLARA,NA,TRUE
AEZ2,-19.6863,145.459,14034797.839015156,-2463570.1843830217,1,2003,0,889.4528532387492,FALSE,CLARA,NA,TRUE
AEZ2,-19.6868,145.464,14035280.270416409,-2463630.3340331772,1,2003,0,1374.2284537963535,FALSE,CLARA,NA,TRUE
AEZ2,-19.6818,145.498,14038560.80394494,-2463028.82928183,1,2003,0,4644.463090944705,FALSE,CLARA,NA,TRUE
AEZ2,-19.682,145.503,14039043.235346192,-2463052.8898238433,1,2003,0,5124.078182452005,FALSE,CLARA,NA,TRUE
AEZ2,-19.8453,145.599,14048305.918250281,-2482688.5080525717,1,2003,0,4055.7894891293777,FALSE,CLARA,NA,TRUE
AEZ2,-19.831,145.615,14049849.698734296,-2480969.823851921,1,2003,0,1921.0737662821748,FALSE,CLARA,NA,TRUE
AEZ2,-19.8152,145.618,14050139.157575049,-2479070.6824682932,1,2003,0,0,FALSE,CLARA,NA,TRUE
AEZ2,-19.8109,145.618,14050139.157575049,-2478553.7956355535,1,2003,0,516.8868327396922,FALSE,CLARA,NA,TRUE
AEZ2,-19.8173,145.635,14051779.424339313,-2479323.110613384,1,2003,0,1659.5767612209993,FALSE,CLARA,NA,TRUE
AEZ2,-19.8169,145.64,14052261.855740568,-2479275.029312879,1,2003,0,2132.5114618192597,FALSE,CLARA,NA,TRUE
AEZ2,-19.8291,145.651,14053323.204823328,-2480741.4558407823,1,2003,0,3595.7809362495564,FALSE,CLARA,NA,TRUE
AEZ2,-19.838,145.643,14052551.314581322,-2481811.156673649,1,2003,0,3650.8492564240023,FALSE,CLARA,NA,TRUE
AEZ2,-19.8382,145.636,14051875.910619566,-2481835.1942223664,1,2003,0,3264.7873400958956,FALSE,CLARA,NA,TRUE
AEZ2,-19.8394,145.624,14050718.07525655,-2481979.4188940325,1,2003,0,2965.7871259377653,FALSE,CLARA,NA,TRUE
AEZ2,-19.8571,145.592,14047630.514288528,-2484106.609178092,1,2003,0,5626.175340803752,FALSE,CLARA,NA,TRUE
AEZ2,-19.8413,145.594,14047823.486849025,-2482207.7724481295,1,2003,0,3899.187665777546,FALSE,CLARA,NA,TRUE
AEZ2,-19.8219,145.596,14048016.45940953,-2479876.037080597,1,2003,0,2270.339964291159,FALSE,CLARA,NA,TRUE
AEZ2,-19.8133,145.58,14046472.678925514,-2478842.2922944636,1,2003,0,3673.585137027953,FALSE,CLARA,NA,TRUE
AEZ2,-19.8052,145.583,14046762.137766268,-2477868.5990380873,1,2003,0,3584.5874744621447,FALSE,CLARA,NA,TRUE
AEZ2,-19.8043,145.592,14047630.514288528,-2477760.4079106417,1,2003,0,2830.2138709704873,FALSE,CLARA,NA,TRUE
AEZ2,-19.7915,145.595,14047919.973129276,-2476221.6249917196,1,2003,0,3611.358208372283,FALSE,CLARA,NA,TRUE
AEZ2,-19.7893,145.589,14047341.055447772,-2475957.13451232,1,2003,0,4186.114712810986,FALSE,CLARA,NA,TRUE
AEZ2,-19.8042,145.602,14048595.377091033,-2477748.3866373794,1,2003,0,2032.6643715276834,FALSE,CLARA,NA,TRUE
AEZ2,-19.7858,145.608,14049174.29477254,-2475536.3468519757,1,2003,0,3663.671447665155,FALSE,CLARA,NA,TRUE
AEZ2,-20.535,146.1334,14099868.18641636,-2565400.564568055,2,NA,4,1428.6567489676136,TRUE,CLARA,AEZ2_CLARA_4,FALSE
AEZ2,-20.5454,146.1267,14099221.72833868,-2566645.0298397145,2,NA,4,252.12159459207612,TRUE,CLARA,AEZ2_CLARA_4,FALSE
AEZ2,-20.5362,146.135,14100022.564464761,-2565544.1609324906,2,NA,4,1350.8612662747312,TRUE,CLARA,AEZ2_CLARA_4,FALSE
