AEZ,cluster_within_aez,n_sites,max_dist_to_medoid,method,cluster_id
AEZ2,3,16,2328.2442106189683,PAMR,AEZ2_PAMR_3
AEZ14,5,19,7117.131716330265,PAMR,AEZ14_PAMR_5
AEZ7,1,12,5536.331484104864,PAMR,AEZ7_PAMR_1
AEZ7,2,12,4001.2026591673625,PAMR,AEZ7_PAMR_2
AEZ7,11,19,2849.7297960044025,PAMR,AEZ7_PAMR_11
AEZ7,16,2,10122.891712505405,PAMR,AEZ7_PAMR_16
AEZ7,24,4,19158.760894177205,PAMR,AEZ7_PAMR_24
AEZ7,25,6,20146.17189186282,PAMR,AEZ7_PAMR_25
AEZ7,26,2,1237.5331032124363,PAMR,AEZ7_PAMR_26
AEZ7,39,3,16922.698758531653,PAMR,AEZ7_PAMR_39
AEZ16,4,2,13434.533107807913,PAMR,AEZ16_PAMR_4
AEZ16,5,72,10151.565878450687,PAMR,AEZ16_PAMR_5
AEZ16,6,27,3727.7391639812226,PAMR,AEZ16_PAMR_6
AEZ16,7,15,2628.9466547689253,PAMR,AEZ16_PAMR_7
AEZ16,9,15,12324.915549294647,PAMR,AEZ16_PAMR_9
AEZ8,2,15,5954.485187848041,PAMR,AEZ8_PAMR_2
AEZ8,3,12,5246.14477828484,PAMR,AEZ8_PAMR_3
AEZ8,4,9,2771.3010030564296,PAMR,AEZ8_PAMR_4
AEZ8,20,16,6428.297100800233,PAMR,AEZ8_PAMR_20
AEZ8,21,14,4752.639764945189,PAMR,AEZ8_PAMR_21
AEZ8,22,7,7325.7585407329625,PAMR,AEZ8_PAMR_22
AEZ8,34,2,14527.689490573846,PAMR,AEZ8_PAMR_34
AEZ8,38,3,12670.477399609457,PAMR,AEZ8_PAMR_38
AEZ8,39,3,4186.302456672221,PAMR,AEZ8_PAMR_39
AEZ8,41,3,21352.690509298838,PAMR,AEZ8_PAMR_41
AEZ8,42,4,24235.26844742643,PAMR,AEZ8_PAMR_42
AEZ8,47,12,7893.320122868167,PAMR,AEZ8_PAMR_47
AEZ8,48,4,10373.504935997064,PAMR,AEZ8_PAMR_48
AEZ8,49,2,21777.910945028318,PAMR,AEZ8_PAMR_49
AEZ8,50,4,11271.20613734747,PAMR,AEZ8_PAMR_50
AEZ8,53,2,8385.899451976027,PAMR,AEZ8_PAMR_53
AEZ8,59,2,13537.870655713075,PAMR,AEZ8_PAMR_59
AEZ8,60,4,24958.446283513636,PAMR,AEZ8_PAMR_60
AEZ8,62,2,17916.033797824304,PAMR,AEZ8_PAMR_62
AEZ8,64,4,17089.10332556816,PAMR,AEZ8_PAMR_64
AEZ8,67,7,9838.752216844738,PAMR,AEZ8_PAMR_67
AEZ8,69,4,7387.184720876668,PAMR,AEZ8_PAMR_69
AEZ8,71,2,22577.49617736234,PAMR,AEZ8_PAMR_71
AEZ4,5,21,19959.977465624084,PAMR,AEZ4_PAMR_5
AEZ4,6,13,8203.59964105346,PAMR,AEZ4_PAMR_6
AEZ4,7,11,4758.910107939739,PAMR,AEZ4_PAMR_7
AEZ4,8,9,4236.7214786571385,PAMR,AEZ4_PAMR_8
AEZ4,31,3,1378.9677960247864,PAMR,AEZ4_PAMR_31
AEZ4,32,3,265.0191214678597,PAMR,AEZ4_PAMR_32
AEZ4,33,5,3009.7355914929535,PAMR,AEZ4_PAMR_33
AEZ4,34,3,852.4037626084861,PAMR,AEZ4_PAMR_34
AEZ4,36,4,1565.3131655137815,PAMR,AEZ4_PAMR_36
AEZ4,38,2,633.2332956524615,PAMR,AEZ4_PAMR_38
AEZ3,9,18,5003.097572977446,PAMR,AEZ3_PAMR_9
AEZ3,15,15,6807.347920121109,PAMR,AEZ3_PAMR_15
AEZ3,16,6,8092.315212262952,PAMR,AEZ3_PAMR_16
AEZ3,17,11,6388.985188199072,PAMR,AEZ3_PAMR_17
AEZ3,18,16,8933.463860985166,PAMR,AEZ3_PAMR_18
AEZ3,19,7,3424.1383706562538,PAMR,AEZ3_PAMR_19
AEZ3,20,16,6122.090072024317,PAMR,AEZ3_PAMR_20
AEZ3,21,6,8274.357343378313,PAMR,AEZ3_PAMR_21
AEZ3,22,12,10315.417348183944,PAMR,AEZ3_PAMR_22
AEZ3,23,7,12494.863240848888,PAMR,AEZ3_PAMR_23
AEZ3,24,5,4667.280611108996,PAMR,AEZ3_PAMR_24
AEZ3,25,9,8091.10706355973,PAMR,AEZ3_PAMR_25
AEZ3,26,14,8539.130315590424,PAMR,AEZ3_PAMR_26
AEZ3,27,8,8557.541795259,PAMR,AEZ3_PAMR_27
AEZ3,28,4,4098.5461896269735,PAMR,AEZ3_PAMR_28
AEZ3,29,4,6372.7172696567695,PAMR,AEZ3_PAMR_29
AEZ3,30,4,3242.4885425289685,PAMR,AEZ3_PAMR_30
AEZ3,31,18,10354.40107321545,PAMR,AEZ3_PAMR_31
AEZ3,32,12,7196.056144299812,PAMR,AEZ3_PAMR_32
AEZ3,33,15,10554.941180846625,PAMR,AEZ3_PAMR_33
AEZ3,39,46,3714.662679066668,PAMR,AEZ3_PAMR_39
AEZ3,40,15,3099.3479249757656,PAMR,AEZ3_PAMR_40
AEZ3,41,23,2616.7914250048093,PAMR,AEZ3_PAMR_41
AEZ3,42,32,11362.067972706835,PAMR,AEZ3_PAMR_42
AEZ3,44,6,4395.2911180250685,PAMR,AEZ3_PAMR_44
AEZ3,45,2,15210.103536130042,PAMR,AEZ3_PAMR_45
AEZ3,46,8,7233.119585995384,PAMR,AEZ3_PAMR_46
