"","GENUS_SPECIES"
"1","Acer rubrum"
"2","Acer saccharum"
"3","Acer spicatum"
"4","Corylus cornuta"
"5","Populus pinnata"
"6","Toxicodendron radicans"
"7","Diervilla lonicera"
"8","Cornus rugosa"
"9","Prunus virginiana"
"10","Rubus flagellaris"
"11","Viburnum rafinesquianum"
"12","Quercus rubra"
"13","Vaccinium angustifolium"
"14","Pinus strobus"
"15","Ostrya virginiana"
"16","Lonicera canadensis"
"17","Betula papyrifera"
"18","Amelanchier gravida"
"19","Amelanchier laevis"
"20","Tilia americana"
"21","Rubus idaeus"
"22","Quercus macrocarpa"
"23","Rubus allegheniensis"
"24","Cornus racemosa"
"25","Gutierrezia sarothrae"
"26","Morphospecies "
"27","Poa secunda"
"28","Pseudoroegneria spicata"
"29","Artemisia tripartita"
"30","Achnatherum hymenoides"
"31","Balsamorhiza sagittata"
"32","Chrysothamnus viscidiflorus"
"33","Crepis acuminata"
"34","Hesperostipa comata"
"35","Phlox longifolia"
"36","Tetradymia canescens"
"37","Elymus albicans"
"38","Koeleria macrantha"
"39","Morphospecies seedling"
"40","Phlox hoodii"
"41","Phlox speciosa"
"42","Linanthus pungens"
"43","Morphospecies grass"
"44","Carex douglasii"
"45","Machaeranthera canescens"
"46","Astragalus convallarius"
"47","Penstemon radicosus"
"48","Morphospecies weed"
"49","Astragalus filipes"
"50","Hordeum jubatum"
"51","Morphospecies cactus"
"52","Penstemon speciosus"
"53","Astragalus lentiginosus"
"54","Eriogonum microthecum"
"55","Comandra umbellata"
"56","Viola praemorsa"
"57","Purshia tridentata"
"58","Hackelia floribunda"
"59","Astragalus purshii"
"60","Erigeron eatonii"
"61","Opuntia polyacantha"
"62","Viola beckwithii"
"63","Arnica fulgens"
"64","Calochortus macrocarpus"
"65","Eriogonum ovalifolium"
"66","Lupinus caudatus"
"67","Senecio integerrimus"
"68","Agoseris taraxacifolia"
"69","Lomatium triternatum"
"70","Sphaeralcea munroana"
"71","Allium textile"
"72","Erigeron engelmannii"
"73","Arnica amplexicaulis"
"74","Elymus elymoides"
"75","Arabis holboellii"
"76","Castilleja angustifolia"
"77","Fritillaria atropurpurea"
"78","Chaenactis douglasii"
"79","Allium acuminatum"
"80","Zigadenus paniculatus"
"81","Erigeron corymbosus"
"82","Hackelia patens"
"83","Lomatium foeniculaceum"
"84","Fritillaria pudica"
"85","Eriogonum heracleoides"
"86","Erigeron pumilus"
"87","Sidalcea nervata"
"88","Lithospermum ruderale"
"89","Schoenocrambe linifolia"
"90","Taraxacum officinale"
"91","Eriogonum longifolium"
"92","Chaetopappa ericoides"
"93","Oenothera caespitosa"
"94","Ericameria nana"
"95","Ipomopsis aggregata"
"96","Arnica cordifolia"
"97","Achillea millefolium"
"98","Cirsium undulatum"
"99","Elymus trachycaulus"
"100","Symphyotrichum ascendens"
"101","Ionactis alpina"
"102","Erigeron filifolius"
"103","Astragalus miser"
"104","Erigeron concinnus"
"105","Morphospecies moss"
"106","Morphospecies lichen"
"107","Antennaria rosea"
"108","Calochortus nuttallii"
"109","Guinardia delicatula"
"110","Guinardia flaccida"
"111","Guinardia striata"
"112","Mesoporos perforatus"
"113","Meuniera membranacea"
"114","Navicula distans"
"115","Nitzschia closterium"
"116","Nitzschia sigmoidea"
"117","Odontella mobiliensis"
"118","Paralia sulcata"
"119","Phytoflagellate "
"120","Pleurosigma "
"121","Proboscia truncata"
"122","Pseudo-nitzschia delicatissima"
"123","Pseudo-nitzschia pungens"
"124","Roperia tesselata"
"125","Thalassionema nitzschioides"
"126","Thalassiosira rotula"
"127","Cerataulina pelagica"
"128","Ceratium fusus"
"129","Chaetoceros affinis"
"130","Chaetoceros debilis"
"131","Chaetoceros decipiens"
"132","Chaetoceros densus"
"133","Chaetoceros didymus"
"134","Chaetoceros laciniosus"
"135","Coccolithophoridae "
"136","Cryptomonadales "
"137","Dinoflagellate "
"138","Emiliania huxleyi"
"139","Eucampia zodiacus"
"140","Karenia mikimotoi"
"141","Pleurosigma planctonicum"
"142","Podosira stelligera"
"143","Psammodictyon panduriforme"
"144","Scripsiella trochoidea"
"145","Thalassiosira eccentrica"
"146","Actinocyclus spec"
"147","Actinoptychus senarius"
"148","Ceratium lineatum"
"149","Chaetoceros danicus"
"150","Chaetoceros peruvianus"
"151","Dictyocha speculum"
"152","Lauderia annulata"
"153","Leptocylindrus danicus"
"154","Leptocylindrus minimus"
"155","Lioloma delicatulum"
"156","Odontella sinensis"
"157","Pseudo-nitzschia seriata"
"158","Rhizosolenia styliformis"
"159","Chaetoceros simplex"
"160","Chaetoceros socialis"
"161","Coscinodiscus concinnus"
"162","Coscinodiscus granii"
"163","Ditylum brightwellii"
"164","Helicotheca tamesis"
"165","Thalassiosira punctigera"
"166","Coscinodiscus centralis"
"167","Fragilaria "
"168","Proboscia alata"
"169","Skeletonema costatum"
"170","Diploneis cabro"
"171","Chaetoceros radicans"
"172","Corethron criophilum"
"173","Coscinodiscus wailesii"
"174","Dinophysis punctata"
"175","Phaeocystis poucheti"
"176","Rhizosolenia robusta"
"177","Coccolithus pelagicus"
"178","Gonyaulax digitale"
"179","Phaeocystis motile"
"180","Rhabdosphaera claviger"
"181","Euglenophycean "
"182","Gonyaulax verior"
"183","Navicula spec"
"184","Prorocentrum micans"
"185","Rhizosolenia hebetata"
"186","Ceratium horridum"
"187","Chaetoceros compressus"
"188","Coronosphaera spec"
"189","Dactyliosolen fragilissimus"
"190","Pyramimonas spec"
"191","Chaetoceros similis"
"192","Dinophysis acuminata"
"193","Gymnodinium spec"
"194","Amylax triacantha"
"195","Meringosphaera spec"
"196","Prorocentrum minimum"
"197","Raphidophyceae "
"198","Thalassiosira anguste-lineata"
"199","Thalassiosira gravida"
"200","Thalassiosira grandiflora"
"201","Chaetoceros wighamii"
"202","Gonyaulax spinifera"
"203","Prorocentrum balticum"
"204","Ceratium furca"
"205","Ceratium tripos"
"206","Dinophysis acuta"
"207","Gymnodinium pygmaeum"
"208","Gymnodinium ochnacea"
"209","Leptocylindrus mediterraneus"
"210","Micranthodinium spec"
"211","Crystallolithus hyalinus"
"212","Chaetoceros spec"
"213","Corymbellus aureus"
"214","Dinobryon "
"215","Coscinodiscus radiatus"
"216","Detonula pumila"
"217","Chaetoceros curvisetus"
"218","Dictyocha fibula"
"219","Gonyaulax spec"
"220","Prorcentrum triestinum"
"221","Thalassiosira subtilis"
"222","Ceratium longipes"
"223","Chaetoceros lauderi"
"224","Dinophysis tripos"
"225","Acanthoica quattrospina"
"226","Thalassiothrix spec"
"227","Ceratium massiliense"
"228","Chaetoceros teres"
"229","Heterocapsa spec"
"230","Umbellosphaera spec"
"231","Stephanopyxis palmeriana"
"232","Halosphaera spec"
"233","Tropidoneis "
"234","Haslea wawrikae"
"235","Bacillaria paradoxa"
"236","Brockmanniella brockmannii"
"237","Pterosperma spec"
"238","Protoceratium reticulatum"
"239","Heterocapsa niei"
"240","Chaetoceros willei"
"241","Gymnodinium catenatum"
"242","Gymnodinium sp2"
"243","Ceratium macroceros"
