sample_id,phylo_div,SR
AD1_2004__Darvill 1  10__2001-07-16,5,1
AD1_2004__Darvill 1  11__2001-07-16,5,1
AD1_2004__Darvill 1  12__2001-07-16,5,1
AD1_2004__Darvill 1  13__2001-07-16,5,1
AD1_2004__Darvill 1  14__2001-07-16,5,1
AD1_2004__Darvill 1  15__2001-07-16,5,1
AD1_2004__Darvill 1  16__2001-07-16,5,1
AD1_2004__Darvill 1  17__2001-07-16,5,1
AD1_2004__Darvill 1  1__2001-07-16,5,1
AD1_2004__Darvill 1  2__2001-07-16,5,1
AD1_2004__Darvill 1  3__2001-07-16,5,1
AD1_2004__Darvill 1  4__2001-07-16,5,1
AD1_2004__Darvill 1  5__2001-07-16,5,1
AD1_2004__Darvill 1  6__2001-07-16,5,1
AD1_2004__Darvill 1  7__2001-07-16,5,1
AD1_2004__Darvill 1  8__2001-07-16,5,1
AD1_2004__Darvill 1  9__2001-07-16,5,1
AD1_2004__Quaranta 1  1__2000-06-13,8,4
AD1_2004__Quaranta 1  2__2000-06-13,8,4
AD1_2005__Blanche 1  1__2001-11-15,6,2
AD1_2005__Blanche 1  2__2001-11-15,7,3
AD1_2005__Blanche 1  3__2001-11-15,7,3
AD1_2005__Blanche 1  4__2001-11-15,7,3
AD1_2005__Blanche 1  5__2001-11-15,6,2
AD1_2005__Blanche 1  6__2001-11-15,6,2
AD1_2005__Blanche 1  7__2001-11-15,6,2
AD1_2005__Blanche 1  8__2001-11-15,5,1
AD1_2005__Blanche 1  9__2001-11-15,5,1
AD1_2005__Hanley 1  1__2004-06-23,5,1
AD1_2005__Hanley 1  2__2004-06-23,5,1
AD1_2005__Hanley 1  3__2004-06-23,5,1
AD1_2005__Hanley 1  4__2005-06-23,5,1
AD1_2005__Hanley 1  5__2005-06-23,5,1
AD1_2005__Hanley 1  6__2005-06-23,5,1
AD1_2005__Oertli 1  1__2001-12-30,10,6
AD1_2005__Oertli 1  2__2001-12-30,10,6
AD1_2005__Oertli 1  3__2001-12-30,10,6
AD1_2005__Oertli 1  4__2001-12-30,10,6
AD1_2005__Oertli 1  5__2001-12-30,10,6
AD1_2005__Oertli 1  6__2001-12-30,10,6
AD1_2005__Oertli 1  7__2001-12-30,10,6
AD1_2005__Shuler 1  10__2003-07-21,0,0
AD1_2005__Shuler 1  11__2003-07-21,5,1
AD1_2005__Shuler 1  12__2003-07-21,0,0
AD1_2005__Shuler 1  13__2003-07-21,5,1
AD1_2005__Shuler 1  14__2003-07-21,0,0
