"","sample_id","phylo_div","SR"
"1","AD1_2004__Darvill 1  10__2001-07-16",5,1
"2","AD1_2004__Darvill 1  11__2001-07-16",5,1
"3","AD1_2004__Darvill 1  12__2001-07-16",5,1
"4","AD1_2004__Darvill 1  13__2001-07-16",5,1
"5","AD1_2004__Darvill 1  14__2001-07-16",5,1
"6","AD1_2004__Darvill 1  15__2001-07-16",5,1
"7","AD1_2004__Darvill 1  16__2001-07-16",5,1
"8","AD1_2004__Darvill 1  17__2001-07-16",5,1
"9","AD1_2004__Darvill 1  1__2001-07-16",5,1
"10","AD1_2004__Darvill 1  2__2001-07-16",5,1
"11","AD1_2004__Darvill 1  3__2001-07-16",5,1
"12","AD1_2004__Darvill 1  4__2001-07-16",5,1
"13","AD1_2004__Darvill 1  5__2001-07-16",5,1
"14","AD1_2004__Darvill 1  6__2001-07-16",5,1
"15","AD1_2004__Darvill 1  7__2001-07-16",5,1
"16","AD1_2004__Darvill 1  8__2001-07-16",5,1
"17","AD1_2004__Darvill 1  9__2001-07-16",5,1
"18","AD1_2004__Quaranta 1  1__2000-06-13",8,4
"19","AD1_2004__Quaranta 1  2__2000-06-13",8,4
"20","AD1_2005__Blanche 1  1__2001-11-15",6,2
"21","AD1_2005__Blanche 1  2__2001-11-15",7,3
"22","AD1_2005__Blanche 1  3__2001-11-15",7,3
"23","AD1_2005__Blanche 1  4__2001-11-15",7,3
"24","AD1_2005__Blanche 1  5__2001-11-15",6,2
"25","AD1_2005__Blanche 1  6__2001-11-15",6,2
"26","AD1_2005__Blanche 1  7__2001-11-15",6,2
"27","AD1_2005__Blanche 1  8__2001-11-15",5,1
"28","AD1_2005__Blanche 1  9__2001-11-15",5,1
"29","AD1_2005__Hanley 1  1__2004-06-23",5,1
"30","AD1_2005__Hanley 1  2__2004-06-23",5,1
"31","AD1_2005__Hanley 1  3__2004-06-23",5,1
"32","AD1_2005__Hanley 1  4__2005-06-23",5,1
"33","AD1_2005__Hanley 1  5__2005-06-23",5,1
"34","AD1_2005__Hanley 1  6__2005-06-23",5,1
"35","AD1_2005__Oertli 1  1__2001-12-30",10,6
"36","AD1_2005__Oertli 1  2__2001-12-30",10,6
"37","AD1_2005__Oertli 1  3__2001-12-30",10,6
"38","AD1_2005__Oertli 1  4__2001-12-30",10,6
"39","AD1_2005__Oertli 1  5__2001-12-30",10,6
"40","AD1_2005__Oertli 1  6__2001-12-30",10,6
"41","AD1_2005__Oertli 1  7__2001-12-30",10,6
"42","AD1_2005__Shuler 1  10__2003-07-21",0,0
"43","AD1_2005__Shuler 1  11__2003-07-21",5,1
"44","AD1_2005__Shuler 1  12__2003-07-21",0,0
"45","AD1_2005__Shuler 1  13__2003-07-21",5,1
"46","AD1_2005__Shuler 1  14__2003-07-21",0,0
"47","AD1_2005__Shuler 1  15__2003-07-21",0,0
"48","AD1_2005__Shuler 1  16__2003-07-21",5,1
"49","AD1_2005__Shuler 1  17__2003-07-21",0,0
"50","AD1_2005__Shuler 1  18__2003-07-21",0,0
"51","AD1_2005__Shuler 1  19__2003-07-21",0,0
"52","AD1_2005__Shuler 1  1__2003-07-21",5,1
"53","AD1_2005__Shuler 1  20__2003-07-21",0,0
"54","AD1_2005__Shuler 1  21__2003-07-21",0,0
"55","AD1_2005__Shuler 1  22__2003-07-21",0,0
"56","AD1_2005__Shuler 1  23__2003-07-21",5,1
"57","AD1_2005__Shuler 1  24__2003-07-21",0,0
"58","AD1_2005__Shuler 1  25__2003-07-21",0,0
"59","AD1_2005__Shuler 1  2__2003-07-21",5,1
"60","AD1_2005__Shuler 1  3__2003-07-21",0,0
"61","AD1_2005__Shuler 1  4__2003-07-21",0,0
"62","AD1_2005__Shuler 1  5__2003-07-21",5,1
"63","AD1_2005__Shuler 1  6__2003-07-21",5,1
"64","AD1_2005__Shuler 1  7__2003-07-21",0,0
"65","AD1_2005__Shuler 1  8__2003-07-21",0,0
"66","AD1_2005__Shuler 1  9__2003-07-21",0,0
"67","AD1_2006__Blanche 1  1__2005-07-02",6,2
"68","AD1_2006__Blanche 1  2__2005-07-02",8,4
"69","AD1_2006__Blanche 1  3__2005-07-02",7,3
"70","AD1_2006__Blanche 1  4__2005-07-02",7,3
"71","AD1_2006__Blanche 1  5__2005-07-02",8,4
"72","AD1_2006__Blanche 1  6__2005-07-02",8,4
"73","AD1_2006__Blanche 2  1__2005-07-02",5,1
"74","AD1_2006__Blanche 2  2__2005-07-02",7,2
"75","AD1_2006__Blanche 2  3__2005-07-02",5,1
"76","AD1_2006__Blanche 2  4__2005-07-02",5,1
"77","AD1_2006__Blanche 2  5__2005-07-02",5,1
"78","AD1_2006__Diekoetter 1  101__2001-07-16",5,1
"79","AD1_2006__Diekoetter 1  103__2001-07-16",5,1
"80","AD1_2006__Diekoetter 1  104__2001-07-16",5,1
"81","AD1_2006__Diekoetter 1  106__2001-07-16",5,1
"82","AD1_2006__Diekoetter 1  109__2001-07-16",5,1
"83","AD1_2006__Diekoetter 1  110__2001-07-16",5,1
"84","AD1_2006__Diekoetter 1  111__2001-07-16",5,1
"85","AD1_2006__Diekoetter 1  113__2001-07-16",5,1
"86","AD1_2006__Diekoetter 1  114__2001-07-16",5,1
"87","AD1_2006__Diekoetter 1  115__2001-07-16",5,1
"88","AD1_2006__Diekoetter 1  116__2001-07-16",5,1
"89","AD1_2006__Diekoetter 1  119__2001-07-16",5,1
"90","AD1_2006__Diekoetter 1  120__2001-07-16",5,1
"91","AD1_2006__Diekoetter 1  122__2001-07-16",5,1
"92","AD1_2006__Diekoetter 1  16__2001-07-16",5,1
"93","AD1_2006__Diekoetter 1  19__2001-07-16",5,1
"94","AD1_2006__Diekoetter 1  20__2001-07-16",5,1
"95","AD1_2006__Diekoetter 1  21__2001-07-16",5,1
"96","AD1_2006__Diekoetter 1  22__2001-07-16",5,1
"97","AD1_2006__Diekoetter 1  29__2001-07-16",5,1
"98","AD1_2006__Diekoetter 1  34__2001-07-16",5,1
"99","AD1_2006__Diekoetter 1  37__2001-07-16",5,1
"100","AD1_2006__Diekoetter 1  41__2001-07-16",5,1
"101","AD1_2006__Diekoetter 1  42__2001-07-16",5,1
"102","AD1_2006__Diekoetter 1  43__2001-07-16",5,1
"103","AD1_2006__Diekoetter 1  44__2001-07-16",5,1
"104","AD1_2006__Diekoetter 1  45__2001-07-16",5,1
"105","AD1_2006__Diekoetter 1  46__2001-07-16",5,1
"106","AD1_2006__Diekoetter 1  47__2001-07-16",5,1
